id,treatment,tofrom,value,role,resp,round,rounds,old
65,3,79,23.7000007629,0,1,1,2,0
65,3,80,7.5,0,0,2,2,0
65,3,81,7.5,0,1,2,2,0
65,3,82,7.5,0,0,2,2,0
65,3,83,7.5,0,1,2,2,0
65,3,84,7.5,0,0,2,2,0
65,3,86,7.5,0,0,2,2,0
65,3,88,7.5,0,0,2,2,0
65,3,92,7.5,0,0,2,2,0
66,3,70,3.2000000477,0,0,1,2,0
66,3,71,5,0,1,1,2,0
66,3,72,4.6999998093,0,0,1,2,0
66,3,74,3.4000000954,0,0,1,2,0
66,3,75,4.6999998093,0,1,1,2,0
66,3,77,3.9000000954,0,0,1,2,0
66,3,79,5.5999999046,0,0,1,2,0
66,3,68,9.3999996185,0,1,1,2,0
66,3,81,15.1999998093,0,1,2,2,0
66,3,82,11.3999996185,0,0,2,2,0
66,3,83,11.3000001907,0,1,2,2,0
66,3,84,14.1000003815,0,0,2,2,0
66,3,86,16.6000003815,0,1,2,2,0
66,3,88,17,0,1,2,2,0
66,3,92,17,0,1,2,2,0
66,3,80,16.7000007629,0,1,2,2,0
67,3,71,5,0,1,1,2,0
67,3,72,5,0,0,1,2,0
67,3,74,5,0,0,1,2,0
67,3,75,5,0,1,1,2,0
67,3,77,5,0,0,1,2,0
67,3,79,5,0,0,1,2,0
67,3,68,5,0,1,1,2,0
67,3,70,5,0,0,1,2,0
67,3,82,11,0,0,2,2,0
67,3,83,11,0,1,2,2,0
67,3,84,11,0,0,2,2,0
67,3,86,11,0,0,2,2,0
67,3,88,11,0,0,2,2,0
67,3,92,11,0,0,2,2,0
67,3,80,11,0,0,2,2,0
67,3,81,11,0,1,2,2,0
69,3,72,27.8999996185,0,1,1,2,0
69,3,74,26.8999996185,0,1,1,2,0
69,3,75,26.3999996185,0,1,1,2,0
69,3,77,27.2000007629,0,1,1,2,0
69,3,79,26.7999992371,0,1,1,2,0
69,3,68,26.7999992371,0,1,1,2,0
69,3,70,27.1000003815,0,1,1,2,0
69,3,71,28.2999992371,0,1,1,2,0
69,3,83,25.8999996185,0,1,2,2,0
69,3,84,26.2000007629,0,1,2,2,0
69,3,86,26.2000007629,0,1,2,2,0
69,3,88,26.2999992371,0,1,2,2,0
69,3,92,26.2999992371,0,1,2,2,0
69,3,80,25.8999996185,0,1,2,2,0
69,3,81,25.8999996185,0,1,2,2,0
69,3,82,25.7999992371,0,1,2,2,0
73,3,74,19.8999996185,0,0,1,2,0
73,3,75,16.7999992371,0,1,1,2,0
73,3,77,15.8999996185,0,1,1,2,0
73,3,79,24.8999996185,0,1,1,2,0
73,3,68,20,0,1,1,2,0
73,3,70,19,0,1,1,2,0
73,3,71,18,0,1,1,2,0
73,3,72,16.8999996185,0,1,1,2,0
73,3,84,16.8999996185,0,0,2,2,0
73,3,86,17.5,0,1,2,2,0
73,3,88,17.2999992371,0,1,2,2,0
73,3,92,17.7000007629,0,1,2,2,0
73,3,80,17.1000003815,0,1,2,2,0
73,3,81,17,0,1,2,2,0
73,3,82,17,0,1,2,2,0
73,3,83,17,0,1,2,2,0
76,3,75,15,0,1,1,2,0
76,3,77,15,0,1,1,2,0
76,3,79,15,0,1,1,2,0
76,3,68,15,0,1,1,2,0
76,3,70,15,0,1,1,2,0
76,3,71,15,0,1,1,2,0
76,3,72,15,0,1,1,2,0
76,3,74,15,0,0,1,2,0
76,3,86,20,0,1,2,2,0
76,3,88,20,0,1,2,2,0
76,3,92,20,0,1,2,2,0
76,3,80,20,0,1,2,2,0
76,3,81,20,0,1,2,2,0
76,3,82,20,0,1,2,2,0
76,3,83,20,0,1,2,2,0
76,3,84,20,0,1,2,2,0
78,3,77,19,0,1,1,2,0
78,3,79,20,0,1,1,2,0
78,3,68,17,0,1,1,2,0
78,3,70,15,0,1,1,2,0
78,3,71,20,0,1,1,2,0
78,3,72,20,0,1,1,2,0
78,3,74,20,0,0,1,2,0
78,3,75,20,0,1,1,2,0
78,3,88,20,0,1,2,2,0
78,3,92,20,0,1,2,2,0
78,3,80,20,0,1,2,2,0
78,3,81,20,0,1,2,2,0
78,3,82,20,0,1,2,2,0
78,3,83,20,0,1,2,2,0
78,3,84,20,0,1,2,2,0
78,3,86,20,0,1,2,2,0
85,3,79,20,0,1,1,2,0
85,3,68,22.5,0,1,1,2,0
85,3,70,22.5,0,1,1,2,0
85,3,71,23,0,1,1,2,0
85,3,72,20,0,1,1,2,0
85,3,74,22,0,0,1,2,0
85,3,75,20,0,1,1,2,0
85,3,77,21,0,1,1,2,0
85,3,92,16,0,0,2,2,0
85,3,80,18,0,1,2,2,0
85,3,81,17,0,1,2,2,0
85,3,82,17,0,1,2,2,0
85,3,83,20,0,1,2,2,0
85,3,84,16,0,0,2,2,0
85,3,86,15,0,1,2,2,0
85,3,88,17.5,0,1,2,2,0
87,3,80,16.7000007629,0,0,1,2,0
87,3,81,18.6000003815,0,1,1,2,0
87,3,82,16.8999996185,0,0,1,2,0
87,3,83,18.3999996185,0,1,1,2,0
87,3,84,19,0,1,1,2,0
87,3,86,17.3999996185,0,1,1,2,0
87,3,88,17.8999996185,0,1,1,2,0
87,3,92,17.6000003815,0,1,1,2,0
87,3,68,17.6000003815,0,1,2,2,0
87,3,70,17.3999996185,0,1,2,2,0
87,3,71,17,0,1,2,2,0
87,3,72,17.7000007629,0,1,2,2,0
87,3,74,17.5,0,0,2,2,0
87,3,75,17.3999996185,0,1,2,2,0
87,3,77,17.5,0,1,2,2,0
87,3,79,17.8999996185,0,1,2,2,0
89,3,81,15,0,1,1,2,0
89,3,82,2,0,0,1,2,0
89,3,83,18,0,1,1,2,0
89,3,84,8,0,0,1,2,0
89,3,86,18,0,1,1,2,0
89,3,88,13,0,0,1,2,0
89,3,92,19.8999996185,0,1,1,2,0
89,3,80,10,0,0,1,2,0
89,3,70,19,0,1,2,2,0
89,3,71,18,0,1,2,2,0
89,3,72,19,0,1,2,2,0
89,3,74,19,0,0,2,2,0
89,3,75,18,0,1,2,2,0
89,3,77,20,0,1,2,2,0
89,3,79,19,0,1,2,2,0
89,3,68,18,0,1,2,2,0
90,3,82,2,0,0,1,2,0
90,3,83,20,0,1,1,2,0
90,3,84,2,0,0,1,2,0
90,3,86,10,0,0,1,2,0
90,3,88,15,0,0,1,2,0
90,3,92,27.5,0,1,1,2,0
90,3,80,10,0,0,1,2,0
90,3,81,27.5,0,1,1,2,0
90,3,71,20,0,1,2,2,0
90,3,72,20,0,1,2,2,0
90,3,74,20,0,1,2,2,0
90,3,75,20,0,1,2,2,0
90,3,77,20,0,1,2,2,0
90,3,79,20,0,1,2,2,0
90,3,68,20,0,1,2,2,0
90,3,70,20,0,1,2,2,0
91,3,83,20,0,1,1,2,0
91,3,84,20,0,1,1,2,0
91,3,86,20,0,1,1,2,0
91,3,88,20,0,1,1,2,0
91,3,92,10,0,0,1,2,0
91,3,80,15,0,0,1,2,0
91,3,81,15,0,1,1,2,0
91,3,82,15,0,1,1,2,0
91,3,72,20,0,1,2,2,0
91,3,74,20,0,1,2,2,0
91,3,75,20,0,1,2,2,0
91,3,77,15,0,1,2,2,0
91,3,79,15,0,1,2,2,0
91,3,68,20,0,1,2,2,0
91,3,70,20,0,1,2,2,0
91,3,71,20,0,1,2,2,0
93,3,84,20,0,1,1,2,0
93,3,86,10,0,0,1,2,0
93,3,88,15,0,1,1,2,0
93,3,92,20,0,1,1,2,0
93,3,80,15,0,0,1,2,0
93,3,81,20,0,1,1,2,0
93,3,82,10,0,0,1,2,0
93,3,83,15,0,1,1,2,0
93,3,74,16,0,0,2,2,0
